Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Justin Trudeau,@JustinTrudeau,2024-03-28T02:49:52.000Z,True,"There¡¯s renters of every age in this country. Our new renter protections ? against unfair rent hikes, renovictions, and bad landlords ? will be there for every one of you.",781,218,998,114K,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1773180679771037980,tweet_id:1773180679771037980
Justin Trudeau,@JustinTrudeau,2024-03-27T17:04:58.000Z,True,Young Canadians put a lot of their hard-earned money towards rent every month. We think that should count for a lot more ? like towards your credit score.,4.3K,1.5K,4.6K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1773033484786765845,tweet_id:1773033484786765845
rare insults,@insultsrare,2024-03-27T20:10:05.000Z,True,i wonder where she is now ,453,380,9.2K,1.6M,[],[],['\\U0001f480'],https://pbs.twimg.com/profile_images/1524871375831326728/AnvqIDN2_normal.jpg,https://twitter.com/insultsrare/status/1773080069025550699,tweet_id:1773080069025550699
Justin Trudeau,@JustinTrudeau,2024-03-27T03:13:47.000Z,True,"The Canada Carbon Rebate puts hundreds of dollars back in Canadians¡¯ pockets every quarter. Oddly, some Premiers are against that ? and they want to scrap your rebates. 

Here¡¯s what I had to say about that:",6.1K,1.4K,4.2K,743K,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1772824309393695188,tweet_id:1772824309393695188
Justin Trudeau,@JustinTrudeau,2024-03-27T21:10:29.000Z,True,"The economy should be recognizing and rewarding the work of young Canadians ? just as it did for their parents and grandparents.

That¡¯s what this Budget is all about.",2.3K,688,2.3K,320K,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1773095271343284235,tweet_id:1773095271343284235
Tristan Tate,@TateTheTalisman,2024-03-27T19:55:05.000Z,True,"Don¡¯t think, just type.

What is a GREAT monthly salary.",7.8K,555,12K,2.4M,[],[],[],https://pbs.twimg.com/profile_images/1723734816506482688/dICo01oi_normal.jpg,https://twitter.com/TateTheTalisman/status/1773076296865566736,tweet_id:1773076296865566736
AnimeCoin,@animecoin,2024-03-27T12:59:57.000Z,True,"Introducing AnimeChain, in collaboration with  and ",5.2K,10K,12K,902K,[],"['@arbitrum', '@azuki']",[],https://pbs.twimg.com/profile_images/1772970725030481920/10D_mqJE_normal.jpg,https://twitter.com/animecoin/status/1772971822100717983,tweet_id:1772971822100717983
Justin Trudeau,@JustinTrudeau,2024-03-27T20:40:44.000Z,True,"L¡¯economie devrait reconnaitre et recompenser le travail des jeunes Canadiens ? comme elle l¡¯a fait pour leurs parents et leurs grands-parents.

C¡¯est l¡¯objectif de ce budget.",227,103,360,64K,[],[],[],https://pbs.twimg.com/profile_images/1426938479909421056/QpI3TSNn_normal.jpg,https://twitter.com/JustinTrudeau/status/1773087781750714811,tweet_id:1773087781750714811
Fck Around N Find Out,@FAFO_TV,2024-03-27T12:00:01.000Z,True,,4.6K,9.4K,103K,13M,[],[],[],https://pbs.twimg.com/profile_images/1650945976209735680/R2vjKLEH_normal.jpg,https://twitter.com/FAFO_TV/status/1772956740453384410,tweet_id:1772956740453384410
non aesthetic things,@PicturesFoIder,2024-03-27T12:30:07.000Z,True,how is that even possible???,9.4K,8.3K,115K,14M,[],[],[],https://pbs.twimg.com/profile_images/989513875124117504/UNMIb20k_normal.jpg,https://twitter.com/PicturesFoIder/status/1772964313184997725,tweet_id:1772964313184997725
Elon Musk,@elonmusk,2024-03-27T06:25:25.000Z,True,"Grok has normal mode and fun mode. Tonight, we decided to add an unhinged fun mode. It is next-level ",7.7K,13K,79K,38M,[],[],"['\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1683325380441128960/yRsRRjGO_normal.jpg,https://twitter.com/elonmusk/status/1772872535555674566,tweet_id:1772872535555674566
